n,SMILE,class
0,CN(CCOc1ccc2c(c1)oc(=O)c1ccccc12)Cc1ccccc1,0.0
1,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCCN2CCOCC2)c1,1.0
2,COc1ccc(OC)c(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.0
3,c1ccc2c(c1)ccc[n+]2CCCCCCC[n+]1cccc2ccccc21,1.0
4,COc1cc2c(cc1OC)C(=O)C(=Cc1ccc(CN3CCN(C)CC3)c(O)c1)O2,0.0
5,CNC(=O)Oc1cccc2c1OCC1CCN(C)C21,1.0
6,O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,1.0
7,COc1ccc(-n2cc(COc3ccc(C=NN=c4c5c([nH]c6ccccc46)CCCC5)cc3)nn2)cc1,0.0
8,CC(C)C1=NC2CCC34CC35C(=O)CC3(C)C(C(C)N(C)Cc6cccc(C(F)(F)F)c6)C(O)CC3(C)C5CCC4C2(C)CS1,1.0
9,Brc1ccc(-[n+]2ccc3ccccc3c2)cc1,0.0
10,Cc1ccccc1CN(C)CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1,0.0
11,C#CCNC1CCc2ccc(OC(=O)NCCC)cc21,0.0
12,c1ccc2oc(CNCCCCCCCN=c3c4c([nH]c5ccccc35)CCC4)cc2c1,1.0
13,CCOC(=O)CCC(NC(=O)OCc1ccccc1)C(=O)NCCC1CCN(Cc2ccccc2)CC1,0.0
14,O=c1cc2cc3o[nH]c(CCC4CCN(Cc5ccccc5)CC4)c3cc2[nH]1,1.0
15,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc12,1.0
16,COc1ccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC,0.0
17,N=c1c2c([nH]c3ccccc13)CCCC2O,1.0
18,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2c(O)cc(O)cc2o1,1.0
19,COc1ccc2c(c1)Cc1c-2[nH]c2ccccc2c1=N,0.0
20,COc1cc2c(cc1OC)C(=O)C(=Cc1ccc(N3CC[N+](C)(Cc4cccc(Cl)c4)CC3)cc1)C2,1.0
21,CN(CCCCCN=c1ccc(-c2ccccc2)n[nH]1)Cc1ccccc1,1.0
22,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3C#N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,1.0
23,O=C(NN=Cc1ccc(OC(F)(F)F)cc1)N1CCN(c2ccccn2)CC1,0.0
24,c1ccc2[nH]c(=NC34CC5CC(CC(C5)C3)C4)[nH]c2c1,0.0
25,CCN(CCCCCC(=O)Nc1ccc(Cc2ccc(NC(=O)CCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC,1.0
26,C#CCN=c1c2c([nH]c3ccccc13)CCCC2,1.0
27,COc1ccc2c(c1)C(=O)C(=Cc1ccc(CN(C)Cc3ccccc3)cc1)CC2,0.0
28,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCOC2O3)cc1,0.0
29,CC(c1ccc2c(c1)oc(=O)c1ccccc12)N(C)C,0.0
30,Clc1ccc(CN2CCN(c3nc(=NCc4ccccc4)cc[nH]3)CC2)cc1,0.0
31,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C1(C(=O)C(C)C)C(=O)C1=C2OC(C(C)(C)O)C1O,0.0
32,Brc1ccc(-c2nnc(N=c3nccc[nH]3)o2)cc1,0.0
33,CCCCCCNC(=O)Oc1ccc2c(c1)C1CCN(C)C2C1,1.0
34,COc1cc(CCC(=O)C=Cc2ccc(CN=c3c4c([nH]c5cc(Cl)ccc35)CC3CC(C)=CC4C3)cc2)cc(CN(C)C)c1O,1.0
35,O=C(NP(=O)(NN1CCOCC1)NN1CCOCC1)c1ccccc1,0.0
36,c1ccc2c(=NCCOCCOCCN=c3c4c([nH]c5ccccc35)CCCC4)c3c([nH]c2c1)CCCC3,1.0
37,COc1cccc2cc(CN(CCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)Cc3cc4cccc(OC)c4o3)oc12,1.0
38,CC(C)c1ccc(NC(=O)OC2CCN(Cc3ccccc3)CC2)cc1,0.0
39,COc1cccc2[nH]c3c(c(=N)c12)CCCC3,1.0
40,Clc1ccc2c(c1)Nc1ccccc1[Se]2,0.0
41,CN1Cc2cc(O)ccc2N(C)C1c1cccc2ccccc12,0.0
42,CCN(CCCCCC=Nc1cc(O)c(NCCCNC(=O)CCCCC2CCSS2)cc1O)Cc1ccccc1OC,1.0
43,N=c1c2c([nH]c3ncccc13)OCCC2,0.0
44,CC(OC[n+]1ccn(C)c1C=NO)C1CCCCC1,0.0
45,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc12,1.0
46,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(N)c(OC)c3)CC2)nc1-c1ccccc1,1.0
47,COc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1,0.0
48,COc1cc2[se]n(-c3ccc(CN4CCCC4)cc3)c(=O)c2cc1OC,0.0
49,Fc1ccc(C=NC2CCN(Cc3ccccc3)CC2)c(F)c1,0.0
50,c1cc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)cnn1,0.0
51,O=C1c2ccccc2SCC12C(c1cccc(Br)c1)C1CSCN1C21C(=O)c2ccccc2C1=O,0.0
52,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCN=c4c5c([nH]c6cc(Cl)ccc46)CC4C=C(C)CC5C4)c3C(C1)C2,1.0
53,COc1cc2c(cc1OC)C(=O)C(=Cc1ccc(CN3CCOCC3)c(O)c1)O2,0.0
54,COc1cc(CCC(=O)N=CC(=O)Nc2ccccc2)ccc1O,0.0
55,Cc1ccc(C(=O)C(=NO)SCC[N+](C)(C)C)cc1,0.0
56,c1ncc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)cn1,1.0
57,Cc1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,0.0
58,OCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,0.0
59,Cc1ccc(-n2cc(COc3ccc(C=NN=c4c5c([nH]c6ccccc46)CCCC5)cc3)nn2)cc1,0.0
60,C=CCC1C(O)C(OCc2ccccc2)C(O)CN1CCCCCCCC,0.0
61,N=c1c2c([nH]c3ccc(N)cc13)CCCC2,0.0
62,COc1cc(C=Cc2ccc3ccccc3[n+]2C)ccc1N1CCOCC1,0.0
63,CCCC1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1,0.0
64,CCCCN1CCCN=C1C=NO,0.0
65,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3cccc(O)c3)cc1C(N)=O)C2,0.0
66,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(C(=O)c3ccccc3)cc2)c1,1.0
67,CNC(=O)c1sc(-c2cc[nH]c(=NC(=O)CNCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)c2)nc1OCC1CC1,1.0
68,Clc1ccc(-n2cc(COc3ccc(C=NN=c4c5c([nH]c6ccccc46)CCCC5)cc3)nn2)cc1,0.0
69,Oc1cc(C=Nc2c3c(nc4ccccc24)CCCC3)cc(O)c1O,0.0
70,NC(=O)Cc1nc(=NCc2ccccc2)c2ccccc2[nH]1,0.0
71,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,1.0
72,O=C(NN=Cc1ccc(F)cc1F)N1CCN(c2ccccn2)CC1,1.0
73,CCCOc1ccccc1C[N+](C)(CC)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1OCCC,1.0
74,CC(C)N(CCOc1ccc(-c2nc3ccccc3[nH]2)cc1)C(C)C,0.0
75,CCN(C)C(=O)Oc1cc(OC(=O)N(C)CC)cc(C(O)CNC(C)(C)CC)c1,0.0
76,CC(=O)C12C(=O)C(CC=C(C)C)=C3OC(C(C)(C)O)CC3(CC(CC=C(C)C)C1(C)CCC=C(C)C)C2=O,0.0
