n,SMILE,class
56,CC(C)C1=NC2CCC34CC35C(=O)CC3(C)C(C(C)N(C)CCc6ccccc6)C(O)CC3(C)C5CCC4C2(C)CS1,1.0
57,c1ccc2c(c1)CN1CCCCCC1=N2,0.0
58,CC(C)(C)OC(=O)N1CCN(c2nc(=NC(c3ccccc3)c3ccccc3)cc[nH]2)CC1,0.0
59,CCN(CC)CCOc1ccc(-c2nc3cc(C)ccc3[nH]2)cc1,0.0
60,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2,1.0
61,c1cnc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)cn1,0.0
62,CC(C)c1ccc(NC(=O)OC2CCCN(C3Cc4ccccc4C3)C2)cc1,0.0
63,COc1cc2oc(-c3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC,0.0
64,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc12,1.0
65,Brc1ccc(CN=c2cc[nH]c(=NC3CCN(Cc4ccccc4)CC3)[nH]2)cc1,0.0
66,N=c1c2c([nH]c3ccccc13)C1CCC2C1,1.0
67,COc1cc2cc(C(=O)C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1.0
68,COc1cc2c(cc1OC)C(=O)C(=Cc1ccc(CN(C)Cc3ccccc3)cc1)CC2,1.0
69,COc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1OC,0.0
70,Fc1ccc2c(C3CCN(CCN4CCCC4)CC3)noc2c1,0.0
71,COc1ccc(NC(=O)c2cc(=O)c3cc(C=CC(=O)OCCN(C)C)ccc3o2)cc1,1.0
72,COc1cc2cc(C(=O)CC3CCC(O)C[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1.0
73,CCCCCCOC(=O)C(CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2ccsc2s1,1.0
74,OCC1CCCN(Cc2ccccc2)C1,0.0
75,CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1F,1.0
76,O=[N+]([O-])c1ccc2c(c1)c(OCc1cccc3ccccc13)nn2Cc1cccc2ccccc12,0.0
77,N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,1.0
78,CC(C)(C)c1cc(C(=O)CNCC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O,0.0
79,COc1cc2c(cc1OC)CN(Cc1cc(Cl)cc(C=NO)c1O)CC2,0.0
80,O=C(CCNCCN=c1c2c([nH]c3ccccc13)CCCC2)N1CCN(CCN=c2c3c([nH]c4ccccc24)CCCC3)CC1,1.0
81,O=c1c2ccccc2[se]n1-c1ccc(CCN2CCCC2)cc1,0.0
82,COc1ccc2oc(C(=O)NCC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,0.0
83,CN(CCC(=O)NCCCN=c1c2c([nH]c3ccccc13)CCCC2)C1CCCCC1,1.0
84,CCCCCCCN=c1c2c([nH]c3ccc(OC)cc13)CCCC2,1.0
85,COc1ccc(-[n+]2ccc3cccc(OC)c3c2)cc1,1.0
86,COc1cc2c(cc1OC)C(c1ccccc1)N(CC1CCN(Cc3cc(Cl)cc(C=NO)c3O)CC1)CC2,0.0
87,CCN(CCCCCC=Nc1cc(O)c(NCCCCCCN(CC)Cc2ccc(OC)cc2)cc1O)Cc1ccc(OC)cc1,1.0
88,O=[N+]([O-])c1ccc(-n2cc(COc3ccc(C=NN=c4c5c([nH]c6ccccc46)CCCC5)cc3)nn2)cc1,0.0
89,COc1ccc(Cn2cc(C(=O)NCCCN=c3c4c([nH]c5ccccc35)CCCC4)c(=O)c3ccccc32)cc1,1.0
90,CCN(C)C(=O)Oc1ccc(C=CC(=O)N2CCCCC2)cc1OC,0.0
91,CCN(CC)CCCCCCOc1ccc(C=C2COc3ccccc3C2=O)cc1,0.0
92,CC1(c2nccc3cc4c(cc23)OCO4)Oc2ccc3c(c2O1)OCO3,0.0
93,COc1ccc(CN(C)C(C)C2C(O)CC3(C)C4CCC5C6(C)CSC(C(C)C)=NC6CCC56CC46C(=O)CC23C)cc1,1.0
94,COc1ccc(CCN=c2[nH]c(=NC(N)=O)[nH]c3ccccc23)cc1OC,0.0
95,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,1.0
96,CC12CCC3C(CCC4C(C)(C(=O)OCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCOC(=O)C5(C)CCCC6(C)C7CCC8(C)CC7(CCC56)CC8=O)CCCC34C)(CC1=O)C2,0.0
97,C=Cc1oc2ccc(Br)cc2c(=O)c1CN(Cc1ccccc1)C(=CC(=O)OC)C(=O)OC,0.0
98,N=c1c2c([nH]c3c1C(c1ccccc1)NC(=S)N3)CCCC2,0.0
99,CCN(CC)CCCCCOc1ccc2c(c1)CCC(=Cc1ccc(CN(C)Cc3ccccc3)cc1)C2=O,1.0
100,CC1NC(C(=O)NCCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)Cc2c1[nH]c1ccccc21,1.0
101,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](C)cc1)C2,1.0
102,COc1ccc2[nH]cc(CCNC(=O)CC3CCN(Cc4cccc(C)c4)CC3)c2c1,0.0
103,N=c1c2c([nH]c3cccc(Cl)c13)CCCC2,1.0
104,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCN2CCCCC2)cc1,0.0
105,CN1CC(c2ccc(Cl)cc2)C2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O,0.0
106,Oc1ccc(CN=c2c3c([nH]c4ccccc24)CCCC3)cc1O,1.0
107,CCC(CC)n1cc(C(=O)C(F)F)cn1,1.0
108,C=CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1,1.0
109,C[n+]1c2ccccc2c(-c2ccc(F)cc2)c2ccccc21,0.0
110,CC(=O)C12C(=O)C(CC=C(C)C)=C3OC(C(C)(C)O)CC3(CC(CC=C(C)C)C1(C)CCC=C(C)C)C2=O,0.0
111,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,0.0
112,COc1c(F)c[n+](CCC[n+]2cc(F)c(OC)c(F)c2)cc1F,0.0
113,N#Cc1cc2c(cn1)[nH]c1ncc(-c3ccc(CN4CCC(O)CC4)cc3)cc12,1.0
114,O=C1C(=NCCCN=c2c3c([nH]c4cc(Cl)ccc24)CCCC3)CC(=O)c2c(O)cccc21,1.0
115,CN1CCN(c2ccc(C=Cc3cc(N4CCN(C)CC4)c4ccccc4[n+]3C)cc2)CC1,0.0
116,CCCCCCCCC=CCCCCCCCC(=O)OCCCc1cc(OC)c2oc(-c3ccc4c(c3)OCO4)cc2c1,0.0
117,COc1ccc2[nH]c3c(c(=NCCN=C4CC(=O)c5ccccc5C4=O)c2c1)CCCC3,0.0
118,Cc1ccc(-c2[nH]c(=NC(=O)C3CCN(Cc4ccc(C(F)(F)F)cc4)CC3)sc2-c2ccc(C)cc2)cc1,0.0
119,Fc1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,0.0
120,COc1cc2c(cc1O)CCC(C)(CCC(=O)NCCCCCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)O2,1.0
121,N=c1c2c([nH]c3c1C(c1cccc([N+](=O)[O-])c1)NC(=S)N3)CCCC2,0.0
122,CCN(CC)CCCCCOc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1,1.0
123,O=C(CCCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2)NCCc1cc2ccccc2[nH]1,1.0
