n,SMILE,class
59,COc1c(C2=NCCN2)cccc1-c1cc(-c2cccc(C3=NCCN3)c2OC)on1,1.0
60,CC(C)CC(=NC(=O)CCc1ccc(F)cc1)C(=O)NC(CCc1ccccc1)C(=O)N=c1cc[nH]c2cc(Cl)ccc12,0.0
61,COc1ccc(C(=O)C=Cc2ccnc3ccccc23)cc1OC,1.0
62,COC1OC2(C)OOC13CCCCC3CC2Cc1ccc(COCc2ccc(F)cc2)cc1,1.0
63,COCC1CCC2(C)C(C)=CC(=O)CC2C1(C)CCc1ccoc1O,0.0
64,COC(=O)c1ccc(O)c(CC=C(C)C)c1,0.0
65,CCCn1cc[n+](CC([PH](=O)(=O)[O-])[PH](=O)(=O)O)c1,0.0
66,CC1CCC2C(C)C(OCc3cccc(C(=O)N(CCCCN=c4cc[nH]c5cc(Cl)ccc45)CC(=O)NC4CCCCC4)c3)OC3OC4(C)CCC1C32OO4,1.0
67,O=[PH](=O)(O)C(CCC(O)=NO)c1ccccc1,1.0
68,Cc1cc(=Nc2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)cc2)n2[nH]cnc2n1,0.0
69,CCN(CC)c1ccc(C=NN=c2c3c([nH]c4ccccc24)CCCC3)cc1,0.0
70,CNC1=NC(=O)C(=Cc2c[nH]c3ccccc23)N1C,0.0
71,CN(C)c1ccc2nc3ccc(N4CCSCC4)cc3[o+]c2c1,1.0
72,Cc1nc(C(=O)N=c2[nH]c(=O)[nH]cc2F)c(-c2ccccc2)o1,0.0
73,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C(=O)n4ccnc4)CCC23C)C1(C)C,0.0
74,CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(C(C)CC)NC(=O)C(Cc2cn(CC)c3ccccc23)NC1=O,1.0
75,OC(c1ccc(CNCCCN2CCN(CCCN=c3cc[nH]c4cc(Cl)ccc34)CC2)cc1)c1cccc(Cl)c1,0.0
76,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,0.0
77,CN(CCCN=c1cc[nH]c2cc(Cl)ccc12)CCCN1c2ccccc2CCc2ccccc21,1.0
78,O=[N+]([O-])c1cccc(-n2cc(CNc3ccc4nc(-c5ccccc5)c(-c5ccccc5)nc4c3)nn2)c1,0.0
79,N=C(N)Nc1ccc(S(=O)(=O)c2ccc(N=C(N)N)cc2)cc1,1.0
80,CC(=O)OC1CC2CC(NCCN=c3cc[nH]c4cc(Cl)ccc34)CCC2(C)C2CC(OC(C)=O)C3(C)C(C(C)CCCNCCN=c4cc[nH]c5cc(Cl)ccc45)CCC3C12,1.0
81,CN(CCO)c1ccc(-c2csc(=NC(=O)CCCCCCC(O)=NO)[nH]2)cc1N,1.0
82,Clc1cccc(C(N=c2cc[nH]c3cc(Cl)ccc23)c2ccc(CN3CCCCC3)cc2)c1,1.0
83,CC(C)(N)CNC(=O)C(=O)NCC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,1.0
84,C[S+]([O-])c1ccc(Nc2cnc3ccc(-c4cccc([S+](C)[O-])c4)nn23)cc1,0.0
85,CCC1C=CCCC2(CC3CCC4C(C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCCN=C(N)N)CCCNC=O)C5(CCCC(C)O5)N=C(N2)N34)O1,1.0
86,Oc1c(Cl)cccc1N1CCCCCCC1,1.0
87,CCCCCC[n+]1c2c(n(CC(C)C)c1C)C(=O)c1ccccc1C2=O,1.0
88,O=C(NCCc1ccccn1)c1cc(-c2ccc(CN3CCOCC3)cc2)nc2ccc(F)cc12,0.0
89,CCCCC(CC)CC1(CC)CC(CC)C(CC(=O)OC)OO1,0.0
90,CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)cn2)cc1,1.0
91,COc1ccc2nc(Cl)c(CN(Cc3ccccn3)Cc3cc4cc(OC)ccc4nc3Cl)cc2c1,0.0
92,Cc1c(NC(=O)CNC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,0.0
93,NC(=O)c1cccnc1,0.0
94,CCC(=O)N(Cc1ccc(-c2ccc(Cl)cc2)o1)C1CCS(=O)(=O)C1,0.0
95,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,0.0
96,FC(F)(F)c1cccc(-c2nc3c(=NCc4ccncc4)[nH]ccc3[nH]2)c1,1.0
97,CC(C)(C)N1CCN(C(=O)c2ccc(-c3c[nH]c(=N)c(-c4ccc(C(F)(F)F)nc4)n3)cc2)CC1,1.0
98,C=C(c1ccc(Br)cc1)C1COC(c2cc(C)c3oc(=O)c(C(=O)OCC)cc3c2)OO1,1.0
99,CC1CCC2C(C)C(c3ccc(CN4CCN(C(C)C)CC4)n3C)OC3OC4(C)CCC1C32OO4,1.0
100,N=C(N)c1ccc(-c2ccc(Cc3cccc(C(=N)N)c3)cc2)cc1,1.0
101,COc1cc(NC(C)CCCNC(=O)C(CCCCN)NC(=O)C(N)CCCCN)c2ncccc2c1,0.0
102,CC(N=C1N=C(NC(C)c2ccccc2)c2ccccc21)c1ccccc1,0.0
103,C[Se+](C)CCO,0.0
104,CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(C(C)CC)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O,1.0
105,COC(C)(C)OOCCCC#N,0.0
106,COc1ccc(C(=O)Oc2c(OC)c(OC)cc3c2C(=O)C2(OC)C=CC3N(c3ccccc3)O2)cc1,0.0
107,CCN(CC)CCCC(C)N=c1cc[nH]c2c(NC(=O)CCCCCCCCC(=O)Nc3cccc4c(=NC(C)CCCN(CC)CC)cc[nH]c34)cccc12,1.0
108,COc1ccc(CN(C)Cc2ccccc2CN)cc1,0.0
109,CC1(C)OC(=O)C(C=Nc2ccc3c[nH]nc3c2)C(=O)O1,0.0
110,COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1.0
111,NC(CC1CCCCC1)[PH](=O)(=O)O,0.0
112,Cc1cc(=NCCCCN=c2cc[nH]c3cc(Cl)ccc23)[nH]c(=NCCCCCCO)[nH]1,1.0
113,CC(C)c1cc(N=c2cc[nH]c3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.0
114,Nc1ccc(CCC(=O)O)c2c1COB2O,0.0
115,N=C(N)c1ccc2cc(-c3ccc(-c4ccc(C(=N)N)s4)o3)[nH]c2c1,1.0
116,COc1ccc(C=CC(=O)c2ccc(OCc3cn(CC(O)CN4C(=O)C(=O)c5cc(Cl)ccc54)nn3)cc2)c(OC)c1,0.0
117,N=C(N)c1ccc(-c2cnc(-c3ccc(C(=N)N)cc3)nc2)cc1,1.0
118,Cc1ccc(C2OOC(c3ccc(CNc4ccccc4S)cc3)OO2)cc1,0.0
119,NC(=NO)c1cc(O)c(O)c(O)c1,0.0
120,C=CC(C)(O)C1CC2C(C)(CCC3C(C)(C)CCC(O)C32C)O1,0.0
121,CCN(CC)C(=O)NC1(C(C)O)C(N)C(Nc2cccc(OC)c2)C(O)(CO)C1(C)O,1.0
122,COc1cc2[nH]c3ccc(Nc4ccc(OC(F)(F)F)cc4)cc3c(=O)c2cc1Cl,1.0
123,CC(=N)NCCCNCCCCCCCNCCCN=C(C)N,0.0
124,CCCCN(CCCC)Cc1ccc(N=c2cc[nH]c3cc(Cl)ccc23)cc1O,1.0
125,CC1(O)CCC2CC1OOC2(CS(=O)(=O)c1ccccc1)c1ccccc1,1.0
126,CC(CCCO)C1CCC2C3C(O)CC4CC5(CCC4(C)C3CC(O)C12C)OOC1(CCCCC1)OO5,1.0
127,COc1ccc(-c2cc(-c3ccc(C)cc3)[nH]c(=NCCN=c3cc[nH]c4cc(Cl)ccc34)n2)cc1,0.0
128,CCCCCCCCN=c1[nH]c(N2CCCC2)nc2cc(OC)c(OC)cc12,1.0
129,CC1CCCN(Cc2csc(-c3ncccn3)n2)CC1,0.0
130,COc1ccc(C(=O)C=Cc2ccc3ccccc3c2)c(OC)c1,0.0
131,CCCCNC(=O)CN(Cc1ccc(C(O)=NO)cc1)C(=O)c1cccc(N(C)C)c1,1.0
132,O=C(O)C1C2CCC(O2)C1C(=O)NCc1ccc(C(F)(F)F)cc1,0.0
133,O=C(c1ccc(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)cc1)N1CCNCC1,1.0
134,CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(=CCC3c3ccoc3)C12C,0.0
135,CCCCCCCCC=Cc1c(C)nc(=CCCOC)c(=CCCCCCCCCC)c1C,0.0
136,CCN(CC)CCOc1c2ccc(Cl)cc2nc2c1[nH]c1ccccc12,0.0
137,COc1ccc(CN(C)Cc2ccc(CN=c3cc[nH]c4cc(Cl)ccc34)cc2)cc1,1.0
138,CCc1ccc(C=C2SC(=S)N(CCN=c3cc[nH]c4cc(Cl)ccc34)C2=O)cc1,1.0
139,Cc1nn(-c2ccccc2)c(Oc2ccccc2F)c1C1C(C#N)C(=N)N(Nc2ccccc2)C2=CC(C)(C)CC(=O)C21,1.0
140,CCCCCC(=O)NCCNC(=O)C(O)C(C)(C)CO,1.0
141,CC(C)c1sc(N2CCN(C)CC2)nc1C(=O)Nc1ccccc1F,1.0
142,c1cc(-c2noc(CN3CCc4c(ncn4C4CC4)C3)n2)cs1,0.0
143,Oc1ccc(N=c2cc[nH]c3cc(Cl)ccc23)cc1CN1CCN(c2ccccn2)CC1,1.0
144,Fc1cccc(NC2CCN(CCc3ccccc3)CC2)c1,1.0
145,O=C(CCCN1CCCOCC1)Nc1cnc(-c2ccc(F)cc2F)s1,1.0
146,CC(=O)OC1(C)CCC2C(C)C(=O)OC3(C)CCC(O)C(C)(O)CC4OC3C2C41,0.0
147,CN(C)c1ccc(N2C(=O)C(Oc3ccc(Cl)cc3)=C2c2ccc3c(O)c4ccccc4c(O)c3c2)cc1,0.0
148,c1ccc2c(CCN=c3c4ccccc4[nH]c4ccccc34)c[nH]c2c1,1.0
149,Fc1ccc(-c2cn(-c3ccnc4cc(Cl)ccc34)nn2)cc1,0.0
150,COc1cc(OC)cc(C(=O)C=Cc2ccc3ccccc3c2)c1,0.0
151,Cc1cc(N2CCN(C3CCCC3)CC2)n2c(nc3ccccc32)c1C#N,1.0
152,CCOC(=O)CCC(=O)C(CCc1ccccc1)=NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,0.0
153,CC(C)(C)NCc1c(Nc2cc[n+]([O-])c3cc(Cl)ccc23)cc(O)cc1-c1ccc(Cl)cc1,1.0
154,COC1OC2(C)OOC13CCCCC3CC2COCc1ccc(F)cc1,1.0
155,ON=C(O)CCCCCCCCn1cc(-c2cccc(-c3ccccc3)c2)nn1,0.0
156,CCOC(=O)C(=O)OC1(C)CCC2CC1OOC2(C)CS(=O)(=O)c1ccccc1,1.0
157,COc1cc(OC)c2c(c1CC=C(C)C)OC(c1ccccc1)CC2OC,0.0
158,COc1ccc(CN(CCCCN(Cc2ccc(OC)cc2)Cc2ccc(OC)cc2)Cc2ccc(OC)cc2)cc1,0.0
159,CC(=O)c1nc(C(=O)NCCc2ccccc2)cc2c1[nH]c1ccccc12,0.0
160,COc1ccc(C(=O)C=Cc2ccc3ccccc3n2)cc1,0.0
161,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(CCCNCc2ccnc3ccccc23)C(C)C(O)C1(C)O,1.0
162,c1ccc(-c2nc(CN3CCc4c(ncn4C4CC4)C3)cs2)cc1,0.0
163,C#CCOc1ccc(C(=O)C=Cc2ccc(OC)c(OC)c2OC)cc1OC,0.0
164,COc1cc(C=C2CCC(=Cc3ccc(OCCCCN4CCCCC4)c(OC)c3)C2=O)ccc1OCCCCN1CCCCC1,0.0
165,CC1(C)COC(c2cnc(Oc3ccc4c(c3)B(O)OC4)cn2)=N1,1.0
166,Cc1ccc2c(c1)C(=O)C(=O)N2CCOc1c(C)sc(O)c1C,0.0
167,COc1cc2c3c(oc2c(C)c1O)C(=O)C(C)=CC3=O,0.0
168,CC(C)c1sc(N2CCN(C)CC2)nc1C(=O)Nc1ccc(F)cc1C(F)(F)F,1.0
169,CN1CCN(C2CCN(c3ccnc4ccc(Cl)cc34)CC2CCCO)CC1,0.0
170,CN(CCCN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O)Cc1ccccc1,0.0
171,CCCC1(CCC)CC2(OO1)C1CC3CC(C1)CC2C3,1.0
172,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(O)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1.0
173,COc1cc(C)c(-c2ccc3c(c2O)C(C)NC(C)C3)c2ccc(-c3c(C)c(-c4ccc5c(c4O)C(C)NC(C)C5)c4cccc(OC)c4c3O)c(O)c12,1.0
174,CC(=NN=C(N)CC(O)c1cccc2ccccc12)c1ccc(F)cc1,1.0
175,Clc1ccc2c(=NCCNCc3ccc(Br)cc3)cc[nH]c2c1,1.0
176,CCc1n[nH]c(Sc2ncnc3sccc23)n1,0.0
177,CN(C)c1ccc(C=NN=c2cc[nH]c3cc(Cl)ccc23)cc1,1.0
178,COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3F)CC2)cc1,1.0
179,CC(=O)N(CC=CP(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C)OCc1ccc(-c2ccccc2)cc1,0.0
180,COc1cc(F)c(C(C)NC(=O)N(C)Cc2ccco2)cc1OC,0.0
181,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(F)cc1,0.0
182,CN(CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12)CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12,1.0
183,CC(C)(C)OC(=O)Nc1ccc(-c2ccc(CNCCN=c3cc[nH]c4cc(Cl)ccc34)s2)cc1,1.0
184,CC(C)N=C(N)N=c1[nH]c(O)cn1-c1cccc(Cl)c1Cl,0.0
185,CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)Oc1ccc(O)c(C=O)c1,0.0
186,COc1ccc(C=CC(=O)OCc2cn(Cc3cc4c([nH]c5ccccc54)c(C)n3)nn2)cc1,0.0
187,COc1cc(OC)c2c(c1OC)OC1c3c(OC)cc(OC)c(OC)c3OC(c3ccc(Cl)cc3)C1C2C=Cc1ccc(Cl)cc1,0.0
188,C#CCOc1ccccc1C(=O)C=Cc1ccc(OC)c(OC)c1OC,0.0
189,c1ccc(CNCCCNCCCCNCCCNCc2ccccc2)cc1,0.0
190,CC(C)(C)c1ccc([N+](C)(C)CCCN)cc1,0.0
191,Cc1[nH]c(C)c(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)c(=O)c1Cl,1.0
192,COc1ccc2c3ccncc3n(CCC(=O)NCCCCN=c3cc[nH]c4cc(Cl)ccc34)c2c1,1.0
193,CSCC1COC(CCc2ccc(Cl)cc2)(Cn2ccnc2)O1,0.0
194,CC(C)CN(CCCN1CCN(CCCNCc2ccncc2)CC1)CC(C)C,1.0
