n,SMILE,class
0,CCC1=CC2Cc3[nH]c4oc(C5CC5)nc4c(=N)c3C(C1)C2,0.0
1,COc1cc2c(cc1OC)C(=O)C1(C2)C(c2ccc(F)cc2)C(c2ccccc2)NC12C(=O)Nc1ccccc12,0.0
2,COc1ccc2[nH]c(C(=O)NCCC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,1.0
3,CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,1.0
4,CCNC(=O)Oc1ccc2c(c1)C1(C)COC(C1)O2,1.0
5,C#CCOC[n+]1ccn(C)c1C=NO,0.0
6,CCN(C)C(=O)Oc1ccc(C=CC(=O)N2CCN(Cc3ccccc3)CC2)cc1,0.0
7,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(O)c(O)c2)CC1,1.0
8,CN(C)C(=O)Oc1cccc(C(=O)C=Cc2ccc(O)cc2)c1,1.0
9,CCN(C)C(=O)Oc1ccc2c(c1)C(N)CC2,0.0
10,COc1ccc(C(=O)N2CCN(CC(=O)N3CCN(CCCc4c[nH]c5ccccc45)CC3)CC2)cc1,0.0
11,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCCCN2CCCCC2)cc1,0.0
12,Nc1ccc(O)c(CN2CCOCC2)c1,0.0
13,COc1cccc2c1C=[N+](c1ccc(Br)cc1F)CC2,0.0
14,COc1cc2c(cc1O)CCC(C)(CC(=O)NCCCCCCCCN=c1c3c([nH]c4ccccc14)CCCC3)O2,1.0
15,C#CCNC(C)Cc1cccc(OC(=O)N(C)CCC)c1,0.0
16,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(O)c(F)c2)cc1,0.0
17,COc1cc(CNC(=O)CCCCC=CCCCN=c2c3c([nH]c4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O,1.0
18,CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)cc2)cc1,0.0
19,COc1ccc2cc3[n+](cc2c1OCc1ccc(SC)cc1)CCc1cc2c(cc1-3)OCO2,0.0
20,CCCCN1CCN=C1C=NO,0.0
21,O=C1C(=CC2CCN(Cc3ccccc3)CC2)Cc2cccc(O)c21,1.0
22,COc1cc(C=CC(=O)N(Cc2cccc3[nH]c4ccccc4c23)C(C)C)ccc1O,0.0
23,CN1c2ccc(OC(=O)Nc3ccccc3)cc2C2(C)CC[N+](C)([O-])C12,1.0
24,Oc1c(CNCCCCCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc(Cl)c2cccnc12,1.0
