fpr,tpr
0.0,0.0
0.0020325203252032522,0.002403846153846154
0.0020325203252032522,0.009615384615384616
0.0020325203252032522,0.01201923076923077
0.012195121951219513,0.03365384615384615
0.012195121951219513,0.038461538461538464
0.014227642276422764,0.06009615384615385
0.022357723577235773,0.09615384615384616
0.03048780487804878,0.1201923076923077
0.03048780487804878,0.125
0.03048780487804878,0.12740384615384615
0.03048780487804878,0.13701923076923078
0.06097560975609756,0.1778846153846154
0.06097560975609756,0.18028846153846154
0.08130081300813008,0.25
0.1483739837398374,0.37740384615384615
0.16260162601626016,0.3798076923076923
0.16463414634146342,0.3942307692307692
0.19715447154471544,0.4254807692307692
0.20528455284552846,0.4254807692307692
0.21544715447154472,0.4495192307692308
0.21747967479674796,0.4495192307692308
0.21747967479674796,0.4543269230769231
0.21747967479674796,0.4567307692307692
0.21951219512195122,0.4567307692307692
0.23373983739837398,0.46875
0.23780487804878048,0.4807692307692308
0.2845528455284553,0.5144230769230769
0.2865853658536585,0.5144230769230769
0.33739837398373984,0.5600961538461539
0.33739837398373984,0.5649038461538461
0.34146341463414637,0.5745192307692307
0.3434959349593496,0.5745192307692307
0.37601626016260165,0.59375
0.3800813008130081,0.59375
0.40447154471544716,0.5985576923076923
0.40853658536585363,0.5985576923076923
0.4247967479674797,0.6009615384615384
0.42886178861788615,0.6009615384615384
0.4329268292682927,0.6057692307692307
0.4369918699186992,0.6057692307692307
0.4451219512195122,0.6057692307692307
0.5995934959349594,0.7355769230769231
0.6565040650406504,0.7860576923076923
0.6707317073170732,0.8173076923076923
0.6991869918699187,0.8533653846153846
0.8170731707317073,0.9350961538461539
0.8252032520325203,0.9350961538461539
0.8272357723577236,0.9350961538461539
0.8313008130081301,0.9350961538461539
0.8516260162601627,0.9350961538461539
0.8699186991869918,0.9423076923076923
0.8821138211382114,0.9519230769230769
0.9085365853658537,0.9615384615384616
0.9105691056910569,0.9615384615384616
0.9573170731707317,0.9831730769230769
0.9634146341463414,0.9855769230769231
0.967479674796748,0.9855769230769231
1.0,1.0
