n,SMILE,class
0,Cn1cc(O)[nH]c1=NC(=NC(=O)OC(C)(C)C)Nc1ccc(Cl)c(Cl)c1,0.0
1,COc1ccc(C(=O)C=Cc2ccc(F)cc2Cl)c(OC)c1,0.0
2,Cc1cc(C(=O)OCC(=O)N(C)C)c(C)n1-c1ccc(F)cc1,0.0
3,O=C(Cc1cccc(C(F)(F)F)c1)NCC12CC(CN1Cc1ccccc1)C2,0.0
4,Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1,1.0
5,O=c1c(O)c(-c2ccccc2)oc2ccccc12,0.0
6,COc1ccc(-c2cc(-c3ccc(C(=O)N4CCN(C)CC4)cc3)c[nH]c2=N)cn1,1.0
7,CCCCCC=c1cc(CCCCCC)c(=Cc2[nH]c(-c3ccc[nH]3)cc2OC)[nH]1,1.0
8,O=C(C(CNCc1ccsc1)c1ccccc1)N1CCOCC1,0.0
9,ON=C(O)CCCCCCCn1cc(-c2ccccc2)nn1,0.0
10,Fc1ccc(C=CC2=NN(c3ccccc3)C(c3ccc(F)cc3)C2)cc1,0.0
11,CC(C)(C)OC(=O)NC(CSCc1ccccc1)C(=O)N=c1[nH]ccs1,0.0
12,CCc1oc(=O)c(Cc2c(O)c3c(c(C(=O)C(C)C)c2O)OC(C)(CCC=C(C)C)C=C3)c(O)c1C,0.0
13,O=C(C=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1)Nc1ccc(NC(=O)CCc2cccc(C(F)(F)F)c2)c(C(=O)c2ccccc2)c1,1.0
14,C=C(C)C(=O)OC1CC2C(C)(C3=CCC(c4ccoc4)C31C)C(O)C1OCC3(C)C=CC(=O)C2(C)C13,0.0
15,CCN(CC)c1ccc(C=NN=c2cc[nH]c3ccc(OC)cc23)cc1,1.0
16,O=c1c2ccc(OCCCCl)cc2[nH]c2ccc(Cl)cc12,1.0
17,ON=C(O)CCCCCCn1cc(-c2ccccc2)nn1,1.0
18,CC(=O)OC1CC2C(C)(C(=O)CC3(C)C(C(C)=O)CCC23C)C2CCC(=O)C(C)(C)C12O,0.0
19,C=c1c(=Cc2sc(=Nc3ccccc3)[nH]c2O)cc(C)n1-c1ccccn1,1.0
20,Cn1c(CO)cc(=O)c(O)c1CN1CCOCC1,0.0
21,CCCN(CCC)C(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(O)CNC2CCc3ccccc32)c1,1.0
